Time,Date,Year,Month,Month_Num,Country,Value ($US)
April 2017,2017-04-01,2017,April,04,Canada,22772132198.0
April 2017,2017-04-01,2017,April,04,Mexico,18935475483.0
May 2017,2017-05-01,2017,May,05,Canada,24911843649.0
May 2017,2017-05-01,2017,May,05,Mexico,19909685319.0
June 2017,2017-06-01,2017,June,06,Canada,25171806517.0
June 2017,2017-06-01,2017,June,06,Mexico,21402565774.0
July 2017,2017-07-01,2017,July,07,Canada,21812269408.0
July 2017,2017-07-01,2017,July,07,Mexico,19848929206.0
August 2017,2017-08-01,2017,August,08,Canada,24529877770.0
August 2017,2017-08-01,2017,August,08,Mexico,20886962722.0
September 2017,2017-09-01,2017,September,09,Canada,24128220507.0
September 2017,2017-09-01,2017,September,09,Mexico,20170287449.0
October 2017,2017-10-01,2017,October,10,Canada,23943645120.0
October 2017,2017-10-01,2017,October,10,Mexico,22131013081.0
November 2017,2017-11-01,2017,November,11,Canada,25142452287.0
November 2017,2017-11-01,2017,November,11,Mexico,21744425227.0
December 2017,2017-12-01,2017,December,12,Canada,23304299082.0
December 2017,2017-12-01,2017,December,12,Mexico,19656427659.0
2018,2018,2018,Annual,00,Canada,299731711825.0
2018,2018,2018,Annual,00,Mexico,265968016784.0
January 2018,2018-01-01,2018,January,01,Canada,22640517513.0
January 2018,2018-01-01,2018,January,01,Mexico,21434364836.0
February 2018,2018-02-01,2018,February,02,Canada,23675304817.0
February 2018,2018-02-01,2018,February,02,Mexico,20369058622.0
March 2018,2018-03-01,2018,March,03,Canada,27266553880.0
March 2018,2018-03-01,2018,March,03,Mexico,21957931231.0
April 2018,2018-04-01,2018,April,04,Canada,25833656892.0
April 2018,2018-04-01,2018,April,04,Mexico,22532051332.0
May 2018,2018-05-01,2018,May,05,Canada,27066361975.0
May 2018,2018-05-01,2018,May,05,Mexico,23042558648.0
June 2018,2018-06-01,2018,June,06,Canada,26349220238.0
June 2018,2018-06-01,2018,June,06,Mexico,22242917795.0
July 2018,2018-07-01,2018,July,07,Canada,23707541297.0
July 2018,2018-07-01,2018,July,07,Mexico,22916757688.0
August 2018,2018-08-01,2018,August,08,Canada,25607548893.0
August 2018,2018-08-01,2018,August,08,Mexico,22569717917.0
September 2018,2018-09-01,2018,September,09,Canada,24585778856.0
September 2018,2018-09-01,2018,September,09,Mexico,21663927657.0
October 2018,2018-10-01,2018,October,10,Canada,26194277199.0
October 2018,2018-10-01,2018,October,10,Mexico,24752902832.0
November 2018,2018-11-01,2018,November,11,Canada,24490499758.0
November 2018,2018-11-01,2018,November,11,Mexico,22958326161.0
December 2018,2018-12-01,2018,December,12,Canada,22314450507.0
December 2018,2018-12-01,2018,December,12,Mexico,19527502065.0
2019,2019,2019,Annual,00,Canada,292820257565.0
2019,2019,2019,Annual,00,Mexico,256676487323.0
January 2019,2019-01-01,2019,January,01,Canada,22683004020.0
January 2019,2019-01-01,2019,January,01,Mexico,21996172849.0
February 2019,2019-02-01,2019,February,02,Canada,23191331441.0
February 2019,2019-02-01,2019,February,02,Mexico,20264124925.0
March 2019,2019-03-01,2019,March,03,Canada,26448467080.0
March 2019,2019-03-01,2019,March,03,Mexico,21757910412.0
April 2019,2019-04-01,2019,April,04,Canada,25334444802.0
April 2019,2019-04-01,2019,April,04,Mexico,22318727885.0
May 2019,2019-05-01,2019,May,05,Canada,26157822755.0
May 2019,2019-05-01,2019,May,05,Mexico,22682998241.0
June 2019,2019-06-01,2019,June,06,Canada,24886525674.0
June 2019,2019-06-01,2019,June,06,Mexico,20725782926.0
July 2019,2019-07-01,2019,July,07,Canada,23465449013.0
July 2019,2019-07-01,2019,July,07,Mexico,22248243964.0
August 2019,2019-08-01,2019,August,08,Canada,25309167694.0
August 2019,2019-08-01,2019,August,08,Mexico,21975597285.0
September 2019,2019-09-01,2019,September,09,Canada,24307375177.0
September 2019,2019-09-01,2019,September,09,Mexico,20637665421.0
October 2019,2019-10-01,2019,October,10,Canada,25266554519.0
October 2019,2019-10-01,2019,October,10,Mexico,22280482910.0
November 2019,2019-11-01,2019,November,11,Canada,23430118158.0
November 2019,2019-11-01,2019,November,11,Mexico,20819372597.0
December 2019,2019-12-01,2019,December,12,Canada,22339997232.0
December 2019,2019-12-01,2019,December,12,Mexico,18969407908.0
2020,2020,2020,Annual,00,Canada,256212256538.0
2020,2020,2020,Annual,00,Mexico,212512806763.0
January 2020,2020-01-01,2020,January,01,Canada,22614436107.0
January 2020,2020-01-01,2020,January,01,Mexico,20840066322.0
February 2020,2020-02-01,2020,February,02,Canada,23284052771.0
February 2020,2020-02-01,2020,February,02,Mexico,19310694516.0
March 2020,2020-03-01,2020,March,03,Canada,23657292468.0
March 2020,2020-03-01,2020,March,03,Mexico,19773971584.0
April 2020,2020-04-01,2020,April,04,Canada,14735186911.0
April 2020,2020-04-01,2020,April,04,Mexico,12381136086.0
May 2020,2020-05-01,2020,May,05,Canada,14841788172.0
May 2020,2020-05-01,2020,May,05,Mexico,10428109739.0
June 2020,2020-06-01,2020,June,06,Canada,20165645394.0
June 2020,2020-06-01,2020,June,06,Mexico,15784080645.0
July 2020,2020-07-01,2020,July,07,Canada,21320478514.0
July 2020,2020-07-01,2020,July,07,Mexico,18698574584.0
August 2020,2020-08-01,2020,August,08,Canada,22923558711.0
August 2020,2020-08-01,2020,August,08,Mexico,17154584329.0
September 2020,2020-09-01,2020,September,09,Canada,23405794440.0
September 2020,2020-09-01,2020,September,09,Mexico,18714786127.0
October 2020,2020-10-01,2020,October,10,Canada,23663850531.0
October 2020,2020-10-01,2020,October,10,Mexico,20496130521.0
November 2020,2020-11-01,2020,November,11,Canada,22544227401.0
November 2020,2020-11-01,2020,November,11,Mexico,19445786620.0
December 2020,2020-12-01,2020,December,12,Canada,23055945118.0
December 2020,2020-12-01,2020,December,12,Mexico,19484885690.0
2021,2021,2021,Annual,00,Canada,309604001291.0
2021,2021,2021,Annual,00,Mexico,277194626233.0
January 2021,2021-01-01,2021,January,01,Canada,21591410363.0
January 2021,2021-01-01,2021,January,01,Mexico,19572686717.0
February 2021,2021-02-01,2021,February,02,Canada,22375658729.0
February 2021,2021-02-01,2021,February,02,Mexico,21426194311.0
March 2021,2021-03-01,2021,March,03,Canada,28282656386.0
March 2021,2021-03-01,2021,March,03,Mexico,23333111000.0
April 2021,2021-04-01,2021,April,04,Canada,25339537299.0
April 2021,2021-04-01,2021,April,04,Mexico,22371837563.0
May 2021,2021-05-01,2021,May,05,Canada,25599547245.0
May 2021,2021-05-01,2021,May,05,Mexico,22915184352.0
June 2021,2021-06-01,2021,June,06,Canada,26849917717.0
June 2021,2021-06-01,2021,June,06,Mexico,24181181018.0
July 2021,2021-07-01,2021,July,07,Canada,25903684932.0
July 2021,2021-07-01,2021,July,07,Mexico,23946333601.0
August 2021,2021-08-01,2021,August,08,Canada,25909208135.0
August 2021,2021-08-01,2021,August,08,Mexico,24358660521.0
September 2021,2021-09-01,2021,September,09,Canada,24754693863.0
September 2021,2021-09-01,2021,September,09,Mexico,22817871207.0
October 2021,2021-10-01,2021,October,10,Canada,27483454204.0
October 2021,2021-10-01,2021,October,10,Mexico,24466848896.0
November 2021,2021-11-01,2021,November,11,Canada,27775905815.0
November 2021,2021-11-01,2021,November,11,Mexico,23970964615.0
December 2021,2021-12-01,2021,December,12,Canada,27738326603.0
December 2021,2021-12-01,2021,December,12,Mexico,23833752432.0
2022,2022,2022,Annual,00,Canada,359236512977.0
2022,2022,2022,Annual,00,Mexico,324207122780.0
January 2022,2022-01-01,2022,January,01,Canada,24863931878.0
January 2022,2022-01-01,2022,January,01,Mexico,23771213768.0
February 2022,2022-02-01,2022,February,02,Canada,25627989202.0
February 2022,2022-02-01,2022,February,02,Mexico,23631520102.0
March 2022,2022-03-01,2022,March,03,Canada,32811885744.0
March 2022,2022-03-01,2022,March,03,Mexico,28529929360.0
April 2022,2022-04-01,2022,April,04,Canada,31110651772.0
April 2022,2022-04-01,2022,April,04,Mexico,27288472168.0
May 2022,2022-05-01,2022,May,05,Canada,30800486934.0
May 2022,2022-05-01,2022,May,05,Mexico,28936633645.0
June 2022,2022-06-01,2022,June,06,Canada,33212478730.0
June 2022,2022-06-01,2022,June,06,Mexico,29054237738.0
July 2022,2022-07-01,2022,July,07,Canada,29801486714.0
July 2022,2022-07-01,2022,July,07,Mexico,27261430340.0
August 2022,2022-08-01,2022,August,08,Canada,32261334269.0
August 2022,2022-08-01,2022,August,08,Mexico,29880014326.0
September 2022,2022-09-01,2022,September,09,Canada,30622380974.0
September 2022,2022-09-01,2022,September,09,Mexico,27751461150.0
October 2022,2022-10-01,2022,October,10,Canada,30273570613.0
October 2022,2022-10-01,2022,October,10,Mexico,27975209131.0
November 2022,2022-11-01,2022,November,11,Canada,29751059945.0
November 2022,2022-11-01,2022,November,11,Mexico,25568212215.0
December 2022,2022-12-01,2022,December,12,Canada,28099256202.0
December 2022,2022-12-01,2022,December,12,Mexico,24558788837.0
2023,2023,2023,Annual,00,Canada,354355997349.0
2023,2023,2023,Annual,00,Mexico,322742472406.0
January 2023,2023-01-01,2023,January,01,Canada,27562867025.0
January 2023,2023-01-01,2023,January,01,Mexico,27104448069.0
February 2023,2023-02-01,2023,February,02,Canada,27035465305.0
February 2023,2023-02-01,2023,February,02,Mexico,24863561698.0
March 2023,2023-03-01,2023,March,03,Canada,32063332460.0
March 2023,2023-03-01,2023,March,03,Mexico,29113009477.0
April 2023,2023-04-01,2023,April,04,Canada,29268795258.0
April 2023,2023-04-01,2023,April,04,Mexico,24852205448.0
May 2023,2023-05-01,2023,May,05,Canada,30971930849.0
May 2023,2023-05-01,2023,May,05,Mexico,27326623602.0
June 2023,2023-06-01,2023,June,06,Canada,31554291294.0
June 2023,2023-06-01,2023,June,06,Mexico,27212125479.0
July 2023,2023-07-01,2023,July,07,Canada,28752856644.0
July 2023,2023-07-01,2023,July,07,Mexico,26348073640.0
August 2023,2023-08-01,2023,August,08,Canada,31222800026.0
August 2023,2023-08-01,2023,August,08,Mexico,29002254145.0
September 2023,2023-09-01,2023,September,09,Canada,29760833567.0
September 2023,2023-09-01,2023,September,09,Mexico,27470107918.0
October 2023,2023-10-01,2023,October,10,Canada,29303753519.0
October 2023,2023-10-01,2023,October,10,Mexico,29681741083.0
November 2023,2023-11-01,2023,November,11,Canada,28989840206.0
November 2023,2023-11-01,2023,November,11,Mexico,25932213702.0
December 2023,2023-12-01,2023,December,12,Canada,27869231196.0
December 2023,2023-12-01,2023,December,12,Mexico,23836108145.0
2024,2024,2024,Annual,00,Canada,348503416208.0
2024,2024,2024,Annual,00,Mexico,334041359045.0
January 2024,2024-01-01,2024,January,01,Canada,26344107286.0
January 2024,2024-01-01,2024,January,01,Mexico,26481484626.0
February 2024,2024-02-01,2024,February,02,Canada,28493820962.0
February 2024,2024-02-01,2024,February,02,Mexico,26782192986.0
March 2024,2024-03-01,2024,March,03,Canada,30858543308.0
March 2024,2024-03-01,2024,March,03,Mexico,26900779900.0
April 2024,2024-04-01,2024,April,04,Canada,30646968310.0
April 2024,2024-04-01,2024,April,04,Mexico,29399455599.0
May 2024,2024-05-01,2024,May,05,Canada,30285350120.0
