Time,Date,Year,Month,Month_Num,Country,Value ($US)
July 2017,2017-07-01,2017,July,07,Canada,22800971236.0
July 2017,2017-07-01,2017,July,07,Mexico,24514745410.0
August 2017,2017-08-01,2017,August,08,Canada,24905234086.0
August 2017,2017-08-01,2017,August,08,Mexico,26924369870.0
September 2017,2017-09-01,2017,September,09,Canada,24211011221.0
September 2017,2017-09-01,2017,September,09,Mexico,25731991377.0
October 2017,2017-10-01,2017,October,10,Canada,25655086158.0
October 2017,2017-10-01,2017,October,10,Mexico,28572107216.0
November 2017,2017-11-01,2017,November,11,Canada,26131356710.0
November 2017,2017-11-01,2017,November,11,Mexico,27481066952.0
December 2017,2017-12-01,2017,December,12,Canada,25255844168.0
December 2017,2017-12-01,2017,December,12,Mexico,25052592836.0
2018,2018,2018,Annual,00,Canada,318574772746.0
2018,2018,2018,Annual,00,Mexico,343680540510.0
January 2018,2018-01-01,2018,January,01,Canada,26184355367.0
January 2018,2018-01-01,2018,January,01,Mexico,25788215741.0
February 2018,2018-02-01,2018,February,02,Canada,23997422647.0
February 2018,2018-02-01,2018,February,02,Mexico,25777142669.0
March 2018,2018-03-01,2018,March,03,Canada,26954207703.0
March 2018,2018-03-01,2018,March,03,Mexico,29754137946.0
April 2018,2018-04-01,2018,April,04,Canada,26533322153.0
April 2018,2018-04-01,2018,April,04,Mexico,27895040348.0
May 2018,2018-05-01,2018,May,05,Canada,28163890566.0
May 2018,2018-05-01,2018,May,05,Mexico,29209179529.0
June 2018,2018-06-01,2018,June,06,Canada,28040367902.0
June 2018,2018-06-01,2018,June,06,Mexico,29349892896.0
July 2018,2018-07-01,2018,July,07,Canada,26834570371.0
July 2018,2018-07-01,2018,July,07,Mexico,27999488310.0
August 2018,2018-08-01,2018,August,08,Canada,27958942171.0
August 2018,2018-08-01,2018,August,08,Mexico,30885907159.0
September 2018,2018-09-01,2018,September,09,Canada,26297212679.0
September 2018,2018-09-01,2018,September,09,Mexico,28984790343.0
October 2018,2018-10-01,2018,October,10,Canada,28054861875.0
October 2018,2018-10-01,2018,October,10,Mexico,31636756798.0
November 2018,2018-11-01,2018,November,11,Canada,25626614915.0
November 2018,2018-11-01,2018,November,11,Mexico,29464671352.0
December 2018,2018-12-01,2018,December,12,Canada,23929004397.0
December 2018,2018-12-01,2018,December,12,Mexico,26935317419.0
2019,2019,2019,Annual,00,Canada,318588767408.0
2019,2019,2019,Annual,00,Mexico,356093584045.0
January 2019,2019-01-01,2019,January,01,Canada,23348268866.0
January 2019,2019-01-01,2019,January,01,Mexico,27557995759.0
February 2019,2019-02-01,2019,February,02,Canada,22814826424.0
February 2019,2019-02-01,2019,February,02,Mexico,27485222761.0
March 2019,2019-03-01,2019,March,03,Canada,27549187939.0
March 2019,2019-03-01,2019,March,03,Mexico,31111754186.0
April 2019,2019-04-01,2019,April,04,Canada,26731595686.0
April 2019,2019-04-01,2019,April,04,Mexico,30229048253.0
May 2019,2019-05-01,2019,May,05,Canada,29196405509.0
May 2019,2019-05-01,2019,May,05,Mexico,31907669816.0
June 2019,2019-06-01,2019,June,06,Canada,27644321902.0
June 2019,2019-06-01,2019,June,06,Mexico,30193358032.0
July 2019,2019-07-01,2019,July,07,Canada,26760527218.0
July 2019,2019-07-01,2019,July,07,Mexico,29953511976.0
August 2019,2019-08-01,2019,August,08,Canada,26634182790.0
August 2019,2019-08-01,2019,August,08,Mexico,30887235941.0
September 2019,2019-09-01,2019,September,09,Canada,26851540839.0
September 2019,2019-09-01,2019,September,09,Mexico,29273757502.0
October 2019,2019-10-01,2019,October,10,Canada,28534087504.0
October 2019,2019-10-01,2019,October,10,Mexico,30932978041.0
November 2019,2019-11-01,2019,November,11,Canada,25240122410.0
November 2019,2019-11-01,2019,November,11,Mexico,29060754817.0
December 2019,2019-12-01,2019,December,12,Canada,27283700321.0
December 2019,2019-12-01,2019,December,12,Mexico,27500296961.0
2020,2020,2020,Annual,00,Canada,270025523613.0
2020,2020,2020,Annual,00,Mexico,323476917991.0
January 2020,2020-01-01,2020,January,01,Canada,25286848208.0
January 2020,2020-01-01,2020,January,01,Mexico,28202281911.0
February 2020,2020-02-01,2020,February,02,Canada,24339034042.0
February 2020,2020-02-01,2020,February,02,Mexico,28903203952.0
March 2020,2020-03-01,2020,March,03,Canada,25080381294.0
March 2020,2020-03-01,2020,March,03,Mexico,29882071459.0
April 2020,2020-04-01,2020,April,04,Canada,14936992515.0
April 2020,2020-04-01,2020,April,04,Mexico,15771982737.0
May 2020,2020-05-01,2020,May,05,Canada,15842688055.0
May 2020,2020-05-01,2020,May,05,Mexico,14857386976.0
June 2020,2020-06-01,2020,June,06,Canada,20315178877.0
